盛岡手づくり村, 〒020-0055 岩手県盛岡市繋尾入野６４−１０２,39.692994788,141.024364868,926651,盛岡市,盛岡の観光や地場産業を学べる「展示資料室（１００円）」が見所,盛岡の観光や地場産業を学べる「展示資料室（１００円）」が見所。手づくり工房は１１業種１５工房で構成され、南部煎餅・竹細工・わら細工・陶器・家具・木工玩具・染物・お菓子・盛岡冷麺など職人が伝統的な手法で実際につくる「芸と技」を間近で見ることができます。また、個人や団体で手づくりを楽しまれたい方には「手づくり教室」が開催されており職人が直接指導にあたります。それぞれ作るものにより６０〜９０分かかる。また南部鉄器、織・染物、食品、菓子など３５００種類をこえる盛岡土産を展示、販売しています。
鬼越蒼前神社, 〒020-0659 岩手県滝沢市鵜飼外久保４６,39.74736171,141.07189417,18221672,滝沢市,みちのくの初夏を彩る風物詩チャグチャグ馬コが出発する神社,みちのくの初夏を彩る風物詩チャグチャグ馬コが出発する神社。
宮沢賢治記念館, 〒025-0011 岩手県花巻市矢沢第１地割１,39.399358242,141.163136841,367034,花巻市,宮沢賢治の散策の地であり，「経理ムべキ山」の一つにあげていた胡四王山の頂上に，全国の賢治ファンからの寄付金を基に建てられた,宮沢賢治の散策の地であり，「経理ムべキ山」の一つにあげていた胡四王山の頂上に，全国の賢治ファンからの寄付金を基に建てられた。詩人・科学者・教育者としての賢治の思想と多彩な活動を７部門にわけて視聴覚的に再現している。
花巻市博物館, 岩手県花巻市 国道456号線,39.400307285,141.167689329,28973983,花巻市,縄文式住居や古墳、城下町の様子や花巻人形など、縄文時代から現代までの花巻地方の歴史や文化、暮らしを「考古」「歴史」「美術・工芸」の三分野に分け、展示、紹介,縄文式住居や古墳、城下町の様子や花巻人形など、縄文時代から現代までの花巻地方の歴史や文化、暮らしを「考古」「歴史」「美術・工芸」の三分野に分け、展示、紹介。講座や体験学習会なども開催し、楽しんで学習できる参加型博物館を目指しています。
宮沢賢治イーハトーブ館, 〒025-0014 岩手県花巻市高松第１地割１,39.396876927,141.164292696,10375032,花巻市,宮沢賢治に関するさまざまなジャンルの芸術作品や研究論文をできる限り多く集め，わかりやすく整理して一般の人に公開している,宮沢賢治に関するさまざまなジャンルの芸術作品や研究論文をできる限り多く集め，わかりやすく整理して一般の人に公開している。宮沢賢治学会イーハトーブセンターの本拠が置かれている。
白山神社, 〒024-0021 岩手県北上市上野町５丁目 県道39号線,39.30025509,141.13057496,136614018,北上市,野外能舞台（国指定重要文化財）がある,野外能舞台（国指定重要文化財）がある。
鉛温泉スキー場, 〒025-0252 岩手県花巻市鉛中平３６,39.463000788,140.993329226,127209,花巻市,全部で6コースのゲレンデは、初心者から上級者までどなたでも楽しむことができます,全部で6コースのゲレンデは、初心者から上級者までどなたでも楽しむことができます。スノーボード、ナイタースキーもＯＫ。汗をかいた後は隣接する鉛温泉の湯ですっきりしよう。
大沢温泉, 〒025-0244 岩手県花巻市湯口大沢 県道12号線,39.435465569,141.015670393,1067514,花巻市,豊沢川に沿い背後は山，前には田園が広がる素朴な湯治場,豊沢川に沿い背後は山，前には田園が広がる素朴な湯治場。清流ごしに眺める四季折々の桜，新緑，紅葉，冬木立が美しい。露天風呂をはじめ大小合わせて8カ所の浴場があるが，何といっても名物は露天風呂。渓流より一段高く岩風呂式にしつらえてあり，混浴。
精華の湯, 〒025-0305 岩手県花巻市台 県道123号線,39.454867285,141.0561983,6423657,花巻市,開湯以来１２００年の歴史ある台温泉に、２０００年にオープンした日帰り温泉施設,開湯以来１２００年の歴史ある台温泉に、２０００年にオープンした日帰り温泉施設。湧出温度96度、良く温まる泉質の源泉を山の水で熱めに温度調節して湯船へ。循環無しの流しっ放しなので、常にサラサラと湯が溢れている。浴室内に湯気と共に立ちこめる、木の香りも心地よい。休憩室利用は10時〜16時まで。
渡り温泉, 〒025-0244 岩手県花巻市湯口佐野２１,39.424784955,141.015665677,4357438,花巻市,解放感のある露天風呂やサウナ、館内のところどころにさりげなく飾られた花や絵など、女性に優しいおもてなしの宿,解放感のある露天風呂やサウナ、館内のところどころにさりげなく飾られた花や絵など、女性に優しいおもてなしの宿。
